County,% Yes
Adair,45.85230647
Andrew,41.90155229
Atchison,40.71833648
Audrain,42.33017151
Barry,30.57372454
Barton,22.05635693
Bates,35.92315128
Benton,37.49062969
Bollinger,21.06379507
Boone,66.83971593
Buchanan,50.38578509
Butler,32.87616889
Caldwell,36.56652361
Callaway,44.77444137
Camden,43.17283365
Cape Girardeau,37.33001245
Carroll,35.63269877
Carter,24.34350603
Cass,48.84726225
Cedar,29.02908529
Chariton,34.491254
Christian,34.6137889
Clark,40.4124346
Clay,61.22896741
Clinton,43.87525838
Cole,42.57235529
Cooper,41.81756064
Crawford,32.00074377
Dade,27.40153698
Dallas,30.93301435
Daviess,33.77226956
DeKalb,34.81899979
Dent,25.66396819
Douglas,23.6609608
Dunklin,34.72137791
Franklin,39.56815017
Gasconade,32.38622077
Gentry,30.75275398
Greene,49.18977515
Grundy,29.89454379
Harrison,30.56286165
Henry,40.69563613
Hickory,35.84792994
Holt,32.35166739
Howard,42.20726234
Howell,28.59197699
Iron,30.84677419
Jackson,58.90442428
Jasper,37.26824513
Jefferson,47.09790298
Johnson,46.02565742
Knox,29.85327314
Laclede,29.45700029
Lafayette,42.96943231
Lawrence,29.24791086
Lewis,34.33006163
Lincoln,37.92854678
Linn,36.36363636
Livingston,35.30274153
McDonald,30.01841621
Macon,31.97982672
Madison,30.61332393
Maries,25.20973154
Marion,34.53220859
Mercer,28.06324111
Miller,30.1460926
Mississippi,35.41809851
Moniteau,30.94742683
Monroe,32.03703704
Montgomery,34.74289581
Morgan,37.40014524
New Madrid,34.01785714
Newton,30.77692334
Nodaway,41.80430692
Oregon,28.94273128
Osage,21.56017248
Ozark,28.58963466
Pemiscot,39.54334209
Perry,28.15614618
Pettis,41.28342246
Phelps,40.41705962
Pike,33.38491296
Platte,62.30812071
Polk,30.15983763
Pulaski,42.62732838
Putnam,30.67458634
Ralls,31.66812227
Randolph,41.95139777
Ray,44.18363825
Reynolds,29.04953146
Ripley,27.36989662
St. Charles,53.25390406
St. Clair,33.97061783
Ste. Genevieve,36.38521883
St. Francois,40.27324344
St. Louis,67.36765495
St. Louis City,82.87610311
Saline,48.90716295
Schuyler,33.92951078
Scotland,36.5643511
Scott,31.52954809
Shannon,27.1991911
Shelby,26.63769016
Stoddard,26.09377333
Stone,31.85318004
Sullivan,29.10817506
Taney,31.8180109
Texas,24.98479187
Vernon,36.23822342
Warren,40.58470765
Washington,30.35168949
Wayne,27.58920801
Webster,29.9141391
Worth,33.3640553
Wright,20.38802288